datetimeisoformat;Ch1-S;Ch2-D;PC3;PE4
2022-03-29T01:56:04.788363+00:00;0.38;0.31;0.04;0.10;
2022-03-29T01:57:05.275234+00:00;0.28;0.47;0.07;0.11;
2022-03-29T01:58:05.723016+00:00;0.40;0.31;0.03;0.11;
2022-03-29T01:59:06.167576+00:00;0.29;0.25;0.03;0.10;
2022-03-29T02:00:05.004667+00:00;0.54;0.34;0.08;0.10;
2022-03-29T02:01:05.429345+00:00;0.31;0.29;0.04;0.13;
2022-03-29T02:02:06.063122+00:00;0.30;0.28;0.05;0.11;
2022-03-29T02:03:05.109344+00:00;0.42;0.46;0.04;0.14;
2022-03-29T02:04:05.691163+00:00;0.34;0.40;0.04;0.10;
2022-03-29T02:05:04.738824+00:00;0.30;0.33;0.04;0.12;
2022-03-29T02:06:05.137056+00:00;0.34;0.32;0.05;0.11;
2022-03-29T02:07:05.624775+00:00;0.39;0.28;0.06;0.12;
2022-03-29T02:08:06.032107+00:00;0.35;0.36;0.03;0.13;
2022-03-29T02:09:05.031990+00:00;0.36;0.28;0.07;0.09;
2022-03-29T02:10:05.792338+00:00;0.45;0.34;0.02;0.11;
2022-03-29T02:11:04.642426+00:00;0.37;0.36;0.06;0.18;
2022-03-29T02:12:05.169898+00:00;0.60;0.35;0.08;0.10;
2022-03-29T02:13:05.616361+00:00;0.30;0.27;0.06;0.11;
2022-03-29T02:14:06.123855+00:00;0.32;0.26;0.05;0.10;
2022-03-29T02:15:04.951824+00:00;0.40;0.27;0.03;0.10;
2022-03-29T02:16:05.425591+00:00;0.34;0.34;0.06;0.11;
2022-03-29T02:17:05.839762+00:00;0.40;0.33;0.06;0.12;
2022-03-29T02:18:04.761294+00:00;0.35;0.26;0.05;0.12;
2022-03-29T02:19:05.276703+00:00;0.31;0.25;0.04;0.10;
2022-03-29T02:20:05.751813+00:00;0.35;0.27;0.02;0.11;
2022-03-29T02:21:06.201134+00:00;0.33;0.49;0.04;0.13;
2022-03-29T02:22:05.090593+00:00;0.39;0.27;0.06;0.10;
2022-03-29T02:23:05.521348+00:00;0.39;0.31;0.03;0.16;
2022-03-29T02:24:06.060014+00:00;0.31;0.25;0.06;0.12;
2022-03-29T02:25:05.398011+00:00;0.35;0.32;0.03;0.12;
2022-03-29T02:26:05.932377+00:00;0.45;0.26;0.04;0.12;
2022-03-29T02:27:04.756991+00:00;0.37;0.45;0.06;0.12;
2022-03-29T02:28:05.177029+00:00;0.30;0.30;0.05;0.11;
2022-03-29T02:29:05.842781+00:00;0.33;0.69;0.03;0.10;
2022-03-29T02:30:04.710197+00:00;0.44;0.33;0.05;0.13;
2022-03-29T02:31:05.305197+00:00;0.34;0.24;0.06;0.12;
2022-03-29T02:32:05.981230+00:00;0.53;0.36;0.05;0.13;
2022-03-29T02:33:04.829903+00:00;0.33;0.28;0.04;0.11;
2022-03-29T02:34:05.249723+00:00;0.29;0.36;0.06;0.11;
2022-03-29T02:35:05.920596+00:00;0.34;0.29;0.06;0.12;
2022-03-29T02:36:04.863884+00:00;0.35;0.26;0.07;0.11;
2022-03-29T02:37:05.361435+00:00;0.35;0.34;0.05;0.10;
2022-03-29T02:38:05.811977+00:00;0.60;0.31;0.08;0.10;
2022-03-29T02:39:04.963926+00:00;0.30;0.30;0.03;0.13;
2022-03-29T02:40:05.592882+00:00;0.43;0.27;0.03;0.11;
2022-03-29T02:41:06.145731+00:00;0.48;0.28;0.03;0.11;
2022-03-29T02:42:05.032709+00:00;0.29;0.31;0.05;0.11;
2022-03-29T02:43:05.472345+00:00;0.31;0.36;0.07;0.10;
2022-03-29T02:44:06.043011+00:00;0.30;0.34;0.02;0.10;
2022-03-29T02:45:04.967005+00:00;0.63;0.27;0.04;0.11;
2022-03-29T02:46:05.457615+00:00;0.40;0.51;0.04;0.12;
2022-03-29T02:47:05.907460+00:00;0.35;0.34;0.04;0.10;
2022-03-29T02:48:04.766353+00:00;0.29;0.38;0.04;0.10;
2022-03-29T02:49:05.196449+00:00;0.32;0.39;0.08;0.10;
2022-03-29T02:50:05.719002+00:00;0.34;0.29;0.04;0.13;
2022-03-29T02:51:06.175644+00:00;0.29;0.26;0.03;0.11;
2022-03-29T02:52:05.117994+00:00;0.42;0.33;0.08;0.11;
2022-03-29T02:53:05.614816+00:00;0.31;0.34;0.07;0.09;
2022-03-29T02:54:06.077626+00:00;0.27;0.27;0.04;0.12;
2022-03-29T02:55:04.912957+00:00;0.34;0.33;0.05;0.09;
2022-03-29T02:56:05.471377+00:00;0.32;0.41;0.04;0.12;
2022-03-29T02:57:06.027716+00:00;0.35;0.27;0.05;0.12;
2022-03-29T02:58:04.861557+00:00;0.35;0.58;0.05;0.10;
2022-03-29T02:59:05.312466+00:00;0.49;0.31;0.08;0.12;
2022-03-29T03:00:05.863871+00:00;0.34;0.24;0.04;0.11;
2022-03-29T03:01:04.684973+00:00;0.40;0.29;0.02;0.16;
2022-03-29T03:02:05.142121+00:00;0.37;0.27;0.06;0.13;
2022-03-29T03:03:05.743067+00:00;0.29;0.29;0.03;0.14;
2022-03-29T03:04:04.825878+00:00;0.53;0.60;0.03;0.10;
2022-03-29T03:05:05.238309+00:00;0.30;0.30;0.05;0.12;
2022-03-29T03:06:05.999398+00:00;0.26;0.32;0.02;0.10;
2022-03-29T03:07:04.971635+00:00;0.30;0.34;0.05;0.10;
2022-03-29T03:08:05.587719+00:00;0.27;0.27;0.03;0.10;
2022-03-29T03:09:06.090956+00:00;0.30;0.32;0.05;0.20;
2022-03-29T03:10:05.055099+00:00;0.25;0.39;0.02;0.11;
2022-03-29T03:11:05.558696+00:00;0.28;0.26;0.04;0.11;
2022-03-29T03:12:06.069239+00:00;0.35;0.28;0.06;0.09;
2022-03-29T03:13:04.986777+00:00;0.25;0.32;0.06;0.10;
2022-03-29T03:14:05.461533+00:00;0.27;0.30;0.02;0.10;
2022-03-29T03:15:05.931922+00:00;0.27;0.27;0.05;0.10;
2022-03-29T03:16:04.756018+00:00;0.26;0.29;0.07;0.09;
2022-03-29T03:17:05.222382+00:00;0.29;0.29;0.03;0.11;
2022-03-29T03:18:05.720577+00:00;0.28;0.29;0.07;0.10;
